time,time (hours,cost,sequence
"0 days, 0 hours",0,0,[]
"0 days, 1 hours",1,250,[1]
"0 days, 2 hours",2,500,"[1, 1]"
"0 days, 3 hours",3,750,[3]
"0 days, 4 hours",4,1000,"[3, 1]"
"0 days, 5 hours",5,1250,"[3, 1, 1]"
"0 days, 6 hours",6,1500,"[3, 3]"
"0 days, 7 hours",7,1750,"[3, 3, 1]"
"0 days, 8 hours",8,1800,[8]
"0 days, 9 hours",9,2050,"[8, 1]"
"0 days, 10 hours",10,2300,"[8, 1, 1]"
"0 days, 11 hours",11,2550,"[8, 3]"
"0 days, 12 hours",12,2800,"[8, 3, 1]"
"0 days, 13 hours",13,3050,"[8, 3, 1, 1]"
"0 days, 14 hours",14,3300,"[8, 3, 3]"
"0 days, 15 hours",15,3550,"[8, 3, 3, 1]"
"0 days, 16 hours",16,3600,"[8, 8]"
"0 days, 17 hours",17,3850,"[8, 8, 1]"
"0 days, 18 hours",18,4100,"[8, 8, 1, 1]"
"0 days, 19 hours",19,4350,"[8, 8, 3]"
"0 days, 20 hours",20,4600,"[8, 8, 3, 1]"
"0 days, 21 hours",21,4800,[24]
"0 days, 22 hours",22,4800,[24]
"0 days, 23 hours",23,4800,[24]
"1 days, 0 hours",24,4800,[24]
"1 days, 1 hours",25,5050,"[24, 1]"
"1 days, 2 hours",26,5300,"[24, 1, 1]"
"1 days, 3 hours",27,5550,"[24, 3]"
"1 days, 4 hours",28,5800,"[24, 3, 1]"
"1 days, 5 hours",29,6050,"[24, 3, 1, 1]"
"1 days, 6 hours",30,6300,"[24, 3, 3]"
"1 days, 7 hours",31,6550,"[24, 3, 3, 1]"
"1 days, 8 hours",32,6600,"[24, 8]"
"1 days, 9 hours",33,6850,"[24, 8, 1]"
"1 days, 10 hours",34,7100,"[24, 8, 1, 1]"
"1 days, 11 hours",35,7350,"[24, 8, 3]"
"1 days, 12 hours",36,7600,"[24, 8, 3, 1]"
"1 days, 13 hours",37,7850,"[24, 8, 3, 1, 1]"
"1 days, 14 hours",38,8100,"[24, 8, 3, 3]"
"1 days, 15 hours",39,8350,"[24, 8, 3, 3, 1]"
"1 days, 16 hours",40,8400,"[24, 8, 8]"
"1 days, 17 hours",41,8650,"[24, 8, 8, 1]"
"1 days, 18 hours",42,8900,"[24, 8, 8, 1, 1]"
"1 days, 19 hours",43,9150,"[24, 8, 8, 3]"
"1 days, 20 hours",44,9400,"[24, 8, 8, 3, 1]"
"1 days, 21 hours",45,9600,"[24, 24]"
"1 days, 22 hours",46,9600,"[24, 24]"
"1 days, 23 hours",47,9600,"[24, 24]"
"2 days, 0 hours",48,9600,"[24, 24]"
"2 days, 1 hours",49,9850,"[24, 24, 1]"
"2 days, 2 hours",50,10100,"[24, 24, 1, 1]"
"2 days, 3 hours",51,10350,"[24, 24, 3]"
"2 days, 4 hours",52,10600,"[24, 24, 3, 1]"
"2 days, 5 hours",53,10850,"[24, 24, 3, 1, 1]"
"2 days, 6 hours",54,11100,"[24, 24, 3, 3]"
"2 days, 7 hours",55,11350,"[24, 24, 3, 3, 1]"
"2 days, 8 hours",56,11400,"[24, 24, 8]"
"2 days, 9 hours",57,11650,"[24, 24, 8, 1]"
"2 days, 10 hours",58,11900,"[24, 24, 8, 1, 1]"
"2 days, 11 hours",59,12000,[72]
"2 days, 12 hours",60,12000,[72]
"2 days, 13 hours",61,12000,[72]
"2 days, 14 hours",62,12000,[72]
"2 days, 15 hours",63,12000,[72]
"2 days, 16 hours",64,12000,[72]
"2 days, 17 hours",65,12000,[72]
